Type,Title,Content,Actors,תעדוף,ערך,מורכבות,כאב,אפיון,ערבה
SubStage,מערכות סחר,"התשתית הדיגיטלית של תהליך היבוא נשענת על שתי מערכות מרכזיות שמנהלות את הממשק בין היבואנים, המכס והרשויות המוסמכות. 
המערכות מהוות יחד את עמוד השדרה של שרשרת היבוא הדיגיטלית.",רשות המסים (מכס); מערך הדיגיטל הלאומי; משרד הכלכלה; סוכני מכס; יבואני רכב,10,2,2,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB14,"מערכות הסחר הממשלתיות (מסלול ושער עולמי) הן שותפות אינטגרציה של ערבה. ערבה תתמשק עם מסלול לניהול רישיונות יבוא ועם שער עולמי לתהליכי שחרור פיזיים.

הקשר לערבה הוא בממשק הדו-כיווני: רישיונות יבוא שמאושרים בערבה משודרים אוטומטית למסלול, ונתוני שחרור ממכס חוזרים לאגם הרכב כאירועים מתועדים."
SubSubStage,מערכת מסלול,"מיזם משותף של רשות המסים, מערך הדיגיטל הלאומי, משרד הכלכלה והרשויות המוסמכות. 
המערכת מנהלת את סטטוס הרישיונות והאישורים בין המכס לרשויות השונות, ומאפשרת הגשת בקשות באופן מקוון עם מעקב מלא מרגע ההגשה ועד האישור. 
דרכה מגישים יבואנים את בקשותיהם לרישיון יבוא מאגף הרכב.",רשות המסים (מכס); מערך הדיגיטל הלאומי; יבואני רכב,10,2,2,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB15,"מערכת מסלול היא שותפת אינטגרציה של ערבה — דרכה מגישים יבואנים בקשות לרישיון יבוא מאגף הרכב. 

ערבה מזינה את מערכת מסלול בסטטוס רישיונות מעודכן, כך שהמכס יכול לוודא בזמן אמת שליבואן יש רישיון תקף.

ממשק ערבה-מסלול הוא חלק מהתשתית הדיגיטלית שמחברת את משרד התחבורה לרשות המסים."
SubSubStage,מערכת שער עולמי,"מערכת שעלתה לאוויר בינואר 2018 ושינתה את תהליך השחרור ממכס ואת אופן ההתנהלות של סוכני המכס מול רשות המסים. 
יחד עם מסלול, היא מהווה את התשתית הדיגיטלית המלאה של שרשרת היבוא — מסלול מנהלת רישיונות ואישורים, ושער עולמי מנהלת את תהליכי השחרור הפיזיים והלוגיסטיים.",רשות המסים; סוכני מכס,10,1,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB16,"שער עולמי מנהלת את תהליכי השחרור הפיזיים מהמכס. 

הקשר לערבה הוא עקיף — ערבה מתעדת את אירוע השחרור כנקודה בציר הזמן של הרכב, אך תהליך השחרור עצמו מנוהל על ידי רשות המסים.

עם זאת, המידע שמגיע משער עולמי (תאריך שחרור, נתוני מכס) נקלט באגם הרכב ומשמש לאימות שרשרת האירועים."
SubStage,הגעה לארץ ושחרור מנמל,"הרכב מגיע פיזית לישראל על אונייה, נפרק בנמל, ועובר את מערכת המיסוי. זהו המעבר מתיאוריה רגולטורית ללוגיסטיקה תפעולית. 
בין הנמל לבין השחרור הסופי שוכן מנגנון הבונדד — חיץ פיננסי שמאפשר ליבואנים לדחות תשלום מסים עד שיש קונה. 
מערכת המיסוי הישראלית, אחת הכבדות בעולם, מייקרת רכבים בעשרות ולעיתים מאות אחוזים מעל ערכם המקורי. ","היבואן (מחלקת לוגיסטיקה); מפעילי נמלים (אשדוד, חיפה, אילת); חברות ספנות; חברות תובלה; מחסני ערובה; רשות המסים; עמילי מכס",8,2,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB17,"הגעה לארץ ושחרור מנמל הם נקודת הפתיחה הפיזית של מחזור חיי הרכב בישראל. 

ערבה קולטת את אירוע הגעת האונייה ופותחת תיק דיגיטלי לכל רכב לפי מספר שלדה (VIN).

זו נקודת הפתיחה הדיגיטלית שמונעת איבוד מידע — מרגע שהרכב נוגע באדמת ישראל, ערבה מתחילה לעקוב אחריו. 

אירוע השחרור ממכס מתועד באגם הרכב כאירוע ראשון בשרשרת."
SubSubStage,פריקה ובדיקת שינוע,"הרכבים נפרקים מהאונייה בנמלי חיפה, אשדוד (ובהיקף קטן באילת). 
חלק נוסעים מהספינה (Ro-Ro), חלק יורדים במכולות. 
מיד עם הפריקה מתבצעת בדיקה ויזואלית ראשונית לאיתור נזקי שינוע: שריטות, מכות, קורוזיה ממלח ים, חלונות שבורים, צמיגים פגומים. 
כל נזק מתועד ומועבר לטיפול ביטוחי (ביטוח ימי/קרגו). ערבה קולטת את אירוע הגעת האונייה ופותחת תיק דיגיטלי לכל רכב, לפי מספר שלדה — נקודת פתיחה דיגיטלית שמונעת איבוד מידע.",עובדי נמל; חברות ספנות; נציגי יבואן; חברות ביטוח ימי,8,1,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB18,"פריקה ובדיקת שינוע היא נקודת הפתיחה הפיזית של תיעוד הרכב בערבה. 

ערבה קולטת את אירוע הגעת האונייה ופותחת תיק דיגיטלי לכל רכב לפי מספר שלדה — זו נקודת הפתיחה הדיגיטלית שמונעת איבוד מידע.

נזקי שינוע שמתועדים בשלב זה נרשמים בתיק הרכב הדיגיטלי ומשתקפים בהיסטוריה המלאה שהאזרח יראה בפורטל ערבה."
SubSubStage,אחסנה במחסן ערובה,"מהנמל, הרכבים משונעים למתחם אחסנה ייעודי של היבואן בפיקוח רשות המסים — מחסן ערובה (בונדד), הממוקם בטווח של עד 20 ק""מ מבית המכס. 
כל עוד הרכב בבונדד, הוא לא ""נכנס"" רשמית לישראל מבחינת המכס, והיבואן לא משלם עליו מסים. 
זהו מנגנון פיננסי חשוב: יבואן שמביא אונייה עם מאות רכבים לא צריך לשלם מסים על כולם ביום אחד — הוא משחרר בהדרגה לפי קצב המכירות. 
תופעה ישראלית מוכרת: לפני כל העלאת מס צפויה, יבואנים אוגרים כמויות חריגות בבונדד ומשחררים אותן רגע לפני שההעלאה נכנסת לתוקף (קרה בסוף 2024 ושוב בדצמבר 2025).",חברות תובלה; מחסני ערובה; רשות המסים; היבואן,8,1,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB19,"אחסנה בבונדד היא שלב לוגיסטי-פיננסי שהקשר שלו לערבה עקיף. 

ערבה מתעדת את סטטוס הרכב (בבונדד/שוחרר) כחלק מציר הזמן, אך התהליך עצמו מנוהל על ידי רשות המסים.

המידע על משך השהייה בבונדד ותאריך השחרור נשמר באגם הרכב ומשמש לניתוח דפוסי יבוא ולאימות שרשרת האירועים."
SubSubStage,שחרור ממכס,"כשהיבואן מוכר רכב או מחליט לשחררו, הוא מגיש בקשת שחרור לרשות המסים עם רישיון יבוא, שטר מטען (B/L), חשבונית יצרן ומסמכי COC. 
המיסוי מחושב על בסיס ערך CIF (עלות + ביטוח + הובלה). מס קנייה, מקוזז לפי ציון ירוק ולפי ניקוד מערכות בטיחות ADAS. 
לאחר תשלום, הרכב משוחרר פיזית. אירוע השחרור מתועד בערבה.",עמילי מכס; רשות המסים (מכס); משרד האוצר; מערך הדיגיטל הממשלתי,8,1,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB20,"שחרור ממכס הוא אירוע מתועד בערבה — תאריך השחרור, סוג המיסוי וציון ירוק נקלטים באגם הרכב. 

הציון הירוק מחושב על בסיס נתוני COC דיגיטלי שערבה קלטה קודם לכן.

ערבה מאפשרת חישוב אוטומטי של דרגת הזיהום ומדרגת המיסוי, ומתעדת את אירוע השחרור כנקודה קריטית בשרשרת — מרגע זה הרכב ""נכנס"" רשמית לישראל."
SubStage,רישום ראשוני,"הרכב יצא ממכס ונמצא במתחם היבואן. לפני שאפשר למסור אותו ללקוח, הוא חייב לעבור בדיקה טכנית קפדנית, לקבל התקנות נדרשות, ולהירשם רשמית במאגרי המדינה. 
שינוי דרמטי ברגולציה: בעבר כל רכב חדש נדרש לעבור בדיקה בעמדה הטכנית הממשלתית. 
כיום, לפי נוהל 27/03א, הרישוי הראשוני לרכבים פרטיים ומסחריים עד 12 טון מתבצע ישירות במתחם ה-PDI של היבואן, והפיקוח ההנדסי נעשה על ידי מעבדה מוסמכת.",היבואן (מרכזי PDI); בוחני רכב מורשים; חברות התקנה; מעבדות מוסמכות; מהנדסים עצמאיים; משרד התחבורה; חברות ביטוח,3,3,3,3,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB21,"שלב הבדיקות, ההתקנות והרישום הראשוני הוא הלב של שלב היבוא. 

הוא כולל את הרישום ראשוני - ייעודית\רכבית\תפנית, רישיון דיגיטלי וגם ממשק PDI.

שלב הרישום הראשוני הוא אחד המורכבים — החלפת מערכות רכבית (מלם) ותפנית (מטריקס) בממשק ישיר למשרד התחבורה.

16 יבואנים ישירים עם תהליכים שונים, חיבורים למכס ולמשרד האוצר, ורגישות גבוהה לכשלים.

שלב ה PDI מאפשר דיווח דיגיטלי ממרכזי ה-PDI לאגם, כולל קיבוע מד נסועה התחלתי — מנגנון קריטי למניעת זיופי קילומטראז'."
SubSubStage,בדיקת טרום-מסירה,"בדיקה מקיפה במתחם ייעודי של היבואן — למעשה ה""טסט"" הראשון של הרכב. 
הבדיקה כוללת: אימות זהות (VIN ומספר מנוע מול COC — אי-התאמה עוצרת את התהליך), מערכות בטיחות (כריות אוויר, ESP/ESC, חגורות, ADAS), מכניקה (בלמים, היגוי, מתלים, פליטה, נוזלים), חשמל (תאורה, טעינה, מולטימדיה, חיישנים), מראה חיצוני (צבע תואם למפרט, נזקי שינוע שנפספסו), צמיגים (סוג וגודל תואמים להוראת רישום), ועדכוני תוכנה. 
הדיווח מוגש מקוון ומקבע את מד הנסועה ההתחלתי — מנגנון קריטי למניעת זיופי קילומטראז'. ליקויים מתועדים בתיק הרכב הדיגיטלי ומשתקפים בפורטל הציבורי.",בוחן רכב מורשה; מרכז PDI של היבואן; מעבדה מוסמכת,8,2,2,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB22,"כיום 60% מגופי ה-PDI עדיין עובדים בנייר, ו-0% מתוצאות ה-PDI מגיעות לאגם הרכב.

ערבה מאפשרת דיווח מקוון מכל מרכז PDI, קיבוע מד נסועה התחלתי (מנגנון קריטי למניעת זיופי קילומטראז'), ותיעוד ליקויים בתיק הרכב הדיגיטלי שמשתקף בפורטל הציבורי.

היעד: עד 2027, 80% מגופי ה-PDI מדווחים דיגיטלית, וכל רכב חדש שנרשם כולל תיק PDI מלא."
SubSubStage,בדיקות PDI עצמאיות,"לקוחות פרימיום שוכרים לעיתים מהנדסי רכב עצמאיים שמבצעים בדיקות PDI בלתי תלויות במגרשי האחסנה, כדי לאתר תיקוני פחחות מוסווים וכשלים לפני חתימה על עסקה. 
כשהרכב עובר שינויי מבנה מהותיים, נדרשת מעורבות של מעבדה מוסמכת (מכון התקנים, מעבדת רכב אריאל, הטכניון, מגל אפקה, HIT) שמאשרת מרכבים ייעודיים, מבחני יציבות דינמית, שינויי סיווג ושלדה, והתקני גרירה.","מהנדסי רכב עצמאיים; מעבדות מוסמכות (מכון התקנים, מעבדת רכב אריאל, הטכניון, מגל אפקה, HIT)",10,1,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB23,"בדיקות PDI עצמאיות הן פעילות פרטית שהקשר שלה לערבה עקיף. 

כשרכב עובר שינויי מבנה מהותיים שדורשים אישור מעבדה, האישור ישודר דיגיטלית לערבה.

ערבה מתעדת את ממצאי המעבדות המוסמכות ומנגישה אותם לבוחן במכון הרישוי — אך הבדיקות העצמאיות עצמן אינן חלק מהתהליך הרגולטורי של ערבה."
SubSubStage,התקנות נוספות,"רכבים רבים מקבלים התקנות Aftermarket שלא הגיעו מהיצרן. 
חלק נדרשות על ידי חברות ביטוח כתנאי לפוליסה, וחלק בבחירת היבואן או הלקוח. מערכת איתור (GPS) — כמעט תמיד דרישת ביטוח, מותקנת על ידי חברות כמו איתוראן ופוינטר. 
קודנית אלקטרונית ואימובילייזר — מערכות נעילה נוספות נגד גניבות. מולטימדיה — מערכת מסך ותקשורת, לעיתים מותאמת לשוק הישראלי (ניווט בעברית, רדיו מקומי). 
מצלמות דרך וחיישני חנייה. חברות התקנה מרכזיות כמו גיל-קאר (מתקינת הבית של יבואנים גדולים) וקוברה (מעל 30 שנות פעילות) מבצעות את רוב העבודה. 
ברכבי יוקרה או שינויי מבנה, נדרש אישור ממהנדס עצמאי או מעבדה מוסמכת.","חברות התקנה (גיל-קאר, קוברה); חברות איתור (איתוראן, פוינטר); מעבדות מוסמכות; מהנדסים עצמאיים; חברות ביטוח",8,1,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB24,"התקנות Aftermarket הן שלב שהקשר שלו לערבה מתבטא בעיקר דרך שינוי מבנה. כשההתקנה מהווה שינוי מבנה מהותי, היא חייבת להתועד דיגיטלית בערבה.

ערבה מבטיחה שכל שינוי מבנה — כולל התקנות אביזרים — מתועד, מאושר ומשתקף ברישיון הרכב הדיגיטלי, למניעת שינויים פיראטיים."
SubSubStage,רישום לראשונה,"נתוני הרכב (VIN, צבע, קוד דגם) מוזנים למערכת הרישוי הממשלתית. 
שלוש מערכות פועלות במקביל: רכבית (של מלם), תפנית (של מטריקס), וייעודית (של משרד התחבורה). 
רכבית ותפנית מתממשקות גם מול המכס, ולכן היבואנים מעדיפים אותן. 
המערכת מקצה מספר רישוי ייחודי בן 8 ספרות ומקשרת אותו ל-VIN. 
היבואן מזין נתוני לקוח, סורק מסמכים כולל שעבודים, ומדפיס רישיון רכב על גלופות של משרד התחבורה. 
מרגע זה הרכב קיים כישות במאגר הארצי (מעל 4 מיליון כלי רכב), כל ההיסטוריה העתידית תתועד מנקודה זו. 
המאגר הארצי מבוסס על טכנולוגיית Adabas & Natural על IBM Z, עם שער גישת אינטרנט. 
שירותי צד שלישי כמו משומשת, Govcar, Carzone ו-MotoFind מנגישים את המידע לציבור. 
ערבה מאפשרת הפקת רישיונות דיגיטליים (PDF), סנכרון תשלומים בזמן אמת, וממשק ישיר להר הביטוח.","מחלקת רישוי של היבואן; משרד התחבורה; מערכות רישום (רכבית, תפנית, ייעודית); רשות שוק ההון (הר הביטוח)",3,3,3,3,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB25,"רישום לראשונה הוא אחד הרכיבים בעלי המורכבות הגבוהה ביותר בערבה. 

מדובר בהחלפת מערכת ייעודית של משרד התחבורה, וגם בהחלפת מערכות רכבית (מלם) ותפנית (מטריקס) בממשק ישיר למשרד התחבורה.

ערבה תאפשר הפקת רישיון דיגיטלי (PDF) תוך דקה, ביטול מגבלת 20 רישיונות ביום, סגירת תיק ביום אחד, וסנכרון תשלומים בזמן אמת.

מרגע הרישום, הרכב קיים כישות באגם הרכב הלאומי — כל ההיסטוריה העתידית תתועד מנקודה זו. זהו הרגע שבו ערבה נכנסת לתפקוד מלא."
SubStage,מסירה ללקוח,"השלב האחרון בתהליך היבוא — הרכב מגיע לסוכנות והלקוח מקבל מפתחות. מרגע המסירה, הרכב עולה רשמית לכביש ומתחיל לצבור היסטוריה: קילומטראז', בעלות, וכיסוי ביטוחי.",נציגי מכירות של היבואן/סוכנות; הלקוח; חברות ביטוח,8,2,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB26,"מסירה ללקוח היא נקודת הגבול שבה הרכב עוזב את שליטת היבואן ומתחיל חיים פעילים על הכביש. ערבה מתעדת את רגע המסירה כנקודת פתיחה למעקב היסטורי מלא.

הפרויקט חייב לזהות ולסמן מקרים של ""אפס קילומטר מליסינג"" — רכבים שנרשמו על שם חברות ליסינג כיד ראשונה למרות שמעולם לא נסעו — לדיוק התמונה באגם הרכב."
SubSubStage,הכנה וזהירות במסירה,"הרכב מועבר לאולם התצוגה. צוות הסוכנות מתקין לוחיות רישוי, מוודא רישיון רכב מודפס וחוברת אחריות, ובודק שכל האביזרים שהלקוח הזמין מותקנים. 
ביטוח חובה בתוקף נבדק ומאומת — ללא ביטוח, הרכב לא יוצא מהסוכנות.",צוות סוכנות; הלקוח; חברת ביטוח,10,1,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB27,"הכנה ומסירה היא שלב תפעולי של הסוכנות שהקשר שלו לערבה הוא דרך ממשק ביטוח חובה. ביטוח חובה בתוקף נבדק ומאומת מול הר הביטוח לפני שהרכב יוצא מהסוכנות.

ערבה מוודאת שאימות הביטוח מתבצע אוטומטית — 0 רכבים חדשים יוצאים לכביש ללא ביטוח בתוקף מאומת."
SubSubStage,מסירת מפתחות,"הלקוח מגיע לסוכנות ומקבל הסבר על הרכב: מערכות בטיחות, תפעול בסיסי, תנאי אחריות, לוח טיפולים מומלץ. 
הלקוח חותם על מסמכי קבלה, מקבל מפתחות, ויוצא לדרך. ערבה מתעדת את רגע המסירה כנקודת פתיחה למעקב היסטורי מלא — טיפולים, טסטים, נסועה, בעלויות, עד גריטת הרכב. 
תופעת ""אפס קילומטר מליסינג"" (כ-10% ממכירות הרכבים החדשים): חברות ליסינג רוכשות רכבים בהנחות של עשרות אחוזים, רושמות על שמן כבעלים ראשון למרות שהרכב מעולם לא נסע, ומוכרות ללקוחות פרטיים. 
אגם הנתונים חייב לזהות ולסמן מקרים אלה לדיוק התמונה.",נציג מכירות; הלקוח; חברות ליסינג,8,2,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB28,"מסירת מפתחות היא הרגע שבו ערבה מתחילה את המעקב ההיסטורי המלא — טיפולים, טסטים, נסועה, בעלויות, עד גריטת הרכב. 

זו נקודת הפתיחה של אגם הרכב וגם שיקוף של האגם באמצעות האזור האישי של בעל רכב.

ערבה חייבת לזהות ולסמן תופעת ""אפס קילומטר מליסינג"" — חברות ליסינג שנרשמות כיד ראשונה למרות שהרכב מעולם לא נסע, מה שמעוות את דיוק נתוני הבעלויות באגם."
Stage,חיים על הכביש,"השלב הארוך והמורכב ביותר במחזור חיי הרכב. נמשך שנים ולעיתים עשורים. 
הרכב עובר תחת ידיהם של מוסכניקים, בוחנים, שמאים ומתקינים — כל אחד מייצר נתון שאמור להשתלב בתמונת ההיסטוריה של הרכב. 
הרגולציה מחמירה: כל רכב חייב לעבור מבחן כשירות תקופתי, לטפל בכל ריקול תוך חצי שנה, ולבצע שינויי מבנה רק דרך מתקינים מורשים. 
במקביל, ענף המוסכים עובר מהפכה מקצועית (רפורמת האוטוטק), וממד חדש של הגנת סייבר נכנס לתמונה.",משרד התחבורה (אגף הרכב ושירותי תחזוקה); מכוני רישוי (טסט); מוסכים מורשים; שמאי רכב; מתקינים מורשים; יבואני רכב; מערך הסייבר הלאומי,1,3,3,3,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB29,"חיים פעילים על הכביש הוא השלב הארוך ביותר במחזור החיים ומכיל את מרבית רכיבי ערבה: 

מערכת מכונים אחודה, ממשק מוסכים, ממשק ביטוח חובה, שינוי מבנה, בקרות אוטומטיות ופיקוח, היסטוריה ותביעות, מעבדות תקינה, ממשק שמאים, ואגם הרכב כמאגר מרכזי.

בשלב זה ערבה אוספת נתונים מכל הגורמים — מוסכים, מכונים, שמאים, מעבדות, חברות ביטוח — ובונה תמונה היסטורית מלאה של כל רכב. 

זהו השלב שבו ערבה מספקת את הערך הגדול ביותר לאזרח: שקיפות מלאה על הרכב.

הכאב הגדול כאן: 0% מהמוסכים מדווחים נסועה, היסטוריית טיפולים לא קיימת ברמה ממשלתית, שמאים מדווחים פחות מ-10% מהמקרים, ומכוני הרישוי עובדים עם 4 תוכנות שונות ללא אחידות."
SubStage,מבחן רישוי שנתי,"מערך הטסט הישראלי מחייב בדיקת כשירות תקופתית שתדירותה עולה עם גיל הרכב. 
רכב פרטי חדש פטור ב-3 השנים הראשונות (ליסינג/השכרה — שנתיים). 
מגיל 3 עד 14 — בדיקה שנתית. מגיל 15 — שנתית בתוספת אישור בלמים. 
רפורמה בדרך: טיוטת תקנות (2025-2026) מציעה טסט אחת לשנתיים לרכבים חדשים עד גיל 9.",מכוני רישוי; בעל הרכב; TesTime (מערכת תורים); בתי התכנה,1,3,3,3,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB30,"כיום מכוני הרישוי עובדים עם 4 תוכנות שונות (איזנברגר, שיטרית, קומפיוטסט, אייל), נתוני חיישנים מלאים לא מגיעים למשרד, ואין אחידות בנהלי עבודה.

ערבה מחליפה את 4 התוכנות במערכת אחודה אחת, קולטת 100% מנתוני החיישנים לאגם, ומפחיתה ב-50% את השונות בין מכונים. 

אחת המטרות המרכזיות של ערבה היא לגרום לכך שמכוני הרישוי יבצעו בדיקות כמו שאמורות להיות בשנת 2030.

היעד: עד 2029, גם נתוני OBD2 יגיעו וישמרו במשרד התחבורה."
SubSubStage,מאגר נתוני רכב - מנר,"כשלב מקדים וראשוני לפרויקט ערבה, תבוצע החלפה וייתור של חברת CARDATA. 
כיום, כל הממשקים בין מכוני הרישוי, באמצעות בתי התכנה, מבוצעים באמצעות חברת CARDATA.
בנוסף, CARDATA מעשירה את בתי התכנה במידעים שמגיעים מיצרני הרכב באמצעות ספקי נתונים, כדי שיוכלו לבצע בדיקות, לדוגמא, נתוני זיהום אוויר, צמיגים ומנועים עבור כל דגם רכב.",בוחני רכב; מכוני רישוי,1,1,2,3,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB31,"יצא צו בית משפט אשר חייב את משרד התחבורה לצאת למכרז להחלפת חברת CARDATA. נבחר ספק זוכה בשם רייז איט.

החלה העבודה ועד סוף שנת 2026 חברת CARDATA תצא מהמשחק, יוקם מאגר נתוני רכב בבעלות משרד התחבורה. 

בעתיד, באחריות היבואנים יהיה לספק את המידעים הנדרשים לקיום בדיקות במכוני הרישוי."
SubSubStage,מערכת מכונים אחודה,"כיום מכוני הרישוי עובדים עם 4 תוכנות שונות (איזנברגר, שיטרית, קומפיוטסט, אייל), נתוני חיישנים מלאים לא מגיעים למשרד, ואין אחידות בנהלי עבודה.",בוחני רכב; מכוני רישוי,3,1,2,3,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB31,"ערבה מחליפה את 4 התוכנות במערכת אחודה אחת, קולטת 100% מנתוני החיישנים לאגם, ומפחיתה ב-50% את השונות בין מכונים. "
SubSubStage,תחנות הבדיקה,"הבדיקה (15-30 דקות) כוללת 14 תחנות: קליטה ורישום קילומטראז', אימות VIN ומספר מנוע, תאורה, חלונות, צמיגים, מגבים, בדיקת רפלקטיביות לוחיות, ציוד בטיחות חובה (אפוד זוהר, משולש, ג'ק, גלגל רזרבי), בלמים בדינמומטר, כיוון גלגלים, בדיקה תחתית בבור (שלדה, נזילות), כיוון פנסים, בדיקת מזהמי פליטה ובדיקת רעש.",בוחני רכב; מכוני רישוי,6,3,3,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB31,"ערבה תקלוט את כל נתוני החיישנים מ-14 תחנות הבדיקה — רמות זיהום, עוצמת בלימה, כיוון פנסים — ושומרת אותם באגם הרכב לניתוח מגמות ומניעת רמאויות.

כיום רק תוצאה סופית וקודי תקלות מגיעים למשרד. ערבה משנה את זה — 100% מנתוני החיישנים ישמרו באגם, מה שמאפשר זיהוי אוטומטי של חריגות, לדוגמא, טסטים קצרים מ-3 דקות."
SubSubStage,טסט 2030,"אפליקציה ממשלתית מאפשרת הרשמה ותשלום לטסט מראש, עם אימות מקוון של ביטוח ואישורי מוסך. 
במכון יופעלו מצלמות זיהוי (LPR) לרכב ותגי קרבה (RFID) לבוחן. נתוני החיישנים ממסלול הבדיקה (רמות זיהום, עוצמת בלימה) נאגרים באגם הרכב לניתוח מגמות ומניעת רמאויות.",מכוני רישוי; משרד התחבורה (אגם הרכב),8,3,3,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB32,"טסט דיגיטלי הוא מימוש ישיר של מערכת מכונים אחודה, וגם בקרות אוטומטיות ופיקוח. 

האפליקציה הממשלתית מאפשרת הרשמה ותשלום מראש, אימות מקוון של ביטוח ואישורי מוסך.

במכון יופעלו מצלמות זיהוי (LPR) ותגי קרבה (RFID) לבוחן. נתוני החיישנים נאגרים באגם הרכב לניתוח ומניעת רמאויות — זהו המימוש הטכנולוגי המלא של חזון ערבה למכון הרישוי."
SubStage,מוסכים ותחזוקה,"פועלים מעל 5000 מוסכים מורשים בישראל. כיום אין ממשק דיגיטלי בין המוסכים לבין משרד התחבורה.
כחלק מפרויקט ערבה, יפותחו ממשקים דיגיטליים בין המוסכים לבין משרד התחבורה, כך שניתן יהיה לראות אישורי מוסך דיגיטליים במקום נייר, לדעת אילו חלפים הוחלפו על ידי איזה מוסך ומתי.",מוסכים מורשים; מנהלים מקצועיים; משרד התחבורה (אגף הרכב); רשויות מקומיות,7,3,2,3,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB33,"כיום 0% מהמוסכים המורשים מדווחים נסועה או טיפולים למשרד התחבורה. היסטוריית טיפולים לרכב משומש פשוט לא קיימת ברמה ממשלתית.

ערבה מחברת את 600 מוסכי היבואנים (שמבצעים 80% מהטיפולים) לאגם, יוצרת גרף נסועה רציף ל-70% מהרכבים, וחוסמת אוטומטית דיווחי ירידה בנסועה.

זהו אחד הרכיבים עם הכאבים הגדולים, בלעדיו אין היסטוריית טיפולים, אין גרף נסועה, ואין יכולת לזהות זיוף קילומטראז'."
